CRS,REGIAO_SAU,MUNICIPIO,TRAB_SAUDE_TOTAL,TRAB_SAUDE_40,INDIGENAS,60_INSTITUC,TOTAL_VAC
1º CRS,METROPOLITANA I,ANANINDEUA,9071,3628,0,11,3639
1º CRS,METROPOLITANA I,BELEM,48970,19588,0,172,19760
1º CRS,METROPOLITANA I,BENEVIDES,680,272,0,0,272
1º CRS,METROPOLITANA I,MARITUBA,1843,737,0,43,780
1º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,273,109,0,0,109
2º CRS,METROPOLITANA II,ACARA,450,180,0,0,180
2º CRS,METROPOLITANA II,BUJARU,190,76,0,0,76
2º CRS,METROPOLITANA II,COLARES,158,63,0,0,63
2º CRS,METROPOLITANA II,CONCORDIA DO PARA,302,121,0,0,121
2º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,943,377,0,0,377
2º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,298,119,0,0,119
2º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,182,73,0,0,73
2º CRS,METROPOLITANA II,TOME-ACU,798,319,357,4,680
2º CRS,METROPOLITANA II,VIGIA,610,244,0,0,244
3ºCRS,METROPOLITANA III,CASTANHAL,3520,1408,0,38,1446
3ºCRS,METROPOLITANA III,CURUCA,441,176,0,0,176
3ºCRS,METROPOLITANA III,IGARAPE-ACU,477,191,0,0,191
3ºCRS,METROPOLITANA III,INHANGAPI,127,51,0,0,51
3ºCRS,METROPOLITANA III,MAGALHAES BARATA,99,40,0,0,40
3ºCRS,METROPOLITANA III,MARACANA,312,125,0,0,125
3ºCRS,METROPOLITANA III,MARAPANIM,526,210,0,0,210
3ºCRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,304,122,0,0,122
3ºCRS,METROPOLITANA III,SAO FRANCISCO DO PARA,255,102,0,0,102
3ºCRS,METROPOLITANA III,SAO JOAO DA PONTA,73,29,0,0,29
3ºCRS,METROPOLITANA III,TERRA ALTA,121,48,0,0,48
4º CRS,RIO CAETES,AUGUSTO CORREA,433,173,0,0,173
4º CRS,RIO CAETES,BONITO,136,54,0,0,54
4º CRS,RIO CAETES,BRAGANCA,1872,749,0,0,749
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,272,109,0,0,109
4º CRS,RIO CAETES,CAPANEMA,2038,815,0,19,834
4º CRS,RIO CAETES,NOVA TIMBOTEUA,185,74,0,0,74
4º CRS,RIO CAETES,OUREM,162,65,0,0,65
4º CRS,RIO CAETES,PEIXE-BOI,98,39,0,0,39
4º CRS,RIO CAETES,PRIMAVERA,149,60,0,0,60
4º CRS,RIO CAETES,QUATIPURU,141,56,0,0,56
4º CRS,RIO CAETES,SALINOPOLIS,458,183,0,0,183
4º CRS,RIO CAETES,SANTA LUZIA DO PARA,260,104,502,0,606
4º CRS,RIO CAETES,SANTAREM NOVO,91,36,0,0,36
4º CRS,RIO CAETES,SAO JOAO DE PIRABAS,228,91,0,0,91
4º CRS,RIO CAETES,TRACUATEUA,488,195,0,0,195
4º CRS,RIO CAETES,VISEU,649,260,0,0,260
5ºCRS,METROPOLITANA III,AURORA DO PARA,287,115,0,0,115
5ºCRS,METROPOLITANA III,CAPITAO POCO,737,295,0,0,295
5ºCRS,CARAJÁS,DOM ELISEU,734,294,0,0,294
5ºCRS,METROPOLITANA III,GARRAFAO DO NORTE,723,289,0,0,289
5ºCRS,METROPOLITANA III,IPIXUNA DO PARA,553,221,0,0,221
5ºCRS,METROPOLITANA III,IRITUIA,388,155,0,0,155
5ºCRS,METROPOLITANA III,MAE DO RIO,367,147,0,0,147
5ºCRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,197,79,0,0,79
5ºCRS,METROPOLITANA III,PARAGOMINAS,1987,795,777,18,1590
5ºCRS,METROPOLITANA III,SANTA MARIA DO PARA,388,155,286,0,441
5ºCRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,653,261,0,0,261
5ºCRS,METROPOLITANA III,ULIANOPOLIS,712,285,0,0,285
6º CRS,TOCANTINS,ABAETETUBA,2377,951,0,0,951
6º CRS,TOCANTINS,BARCARENA,2228,891,0,0,891
6º CRS,TOCANTINS,IGARAPE-MIRI,666,266,0,0,266
6º CRS,TOCANTINS,MOJU,438,175,87,0,262
6º CRS,LAGO TUCURUÍ,TAILANDIA,884,354,0,0,354
7ºCRS,MARAJO I,AFUA,473,189,0,0,189
7ºCRS,MARAJO I,CACHOEIRA DO ARARI,139,56,0,0,56
7ºCRS,MARAJO I,CHAVES,203,81,0,0,81
7ºCRS,MARAJO I,MUANA,260,104,0,0,104
